"Plot_ID","Cover_Type","Species","Subplot_Zone","Centimeters_Diagonal_Cover"
1,"HERB","Amphicarpa bracteata","BOTTOM",1
1,"HERB","Amphicarpa bracteata","MIDDLE",1
1,"HERB","Amphicarpa bracteata","TOP",7
1,"HERB","Anemonella thalictroides","BOTTOM",11
1,"HERB","Anemonella thalictroides","MIDDLE",22
1,"HERB","Anemonella thalictroides","TOP",1
1,"HERB","Apocynum androsaemifolium","TOP",1
1,"HERB","Aster macrophyllus","BOTTOM",1
1,"HERB","Aster macrophyllus","MIDDLE",4
1,"HERB","Aster macrophyllus","TOP",12
1,"HERB","Aster sagittifolius","BOTTOM",2
1,"HERB","Aster sagittifolius","MIDDLE",1
1,"HERB","Aster sagittifolius","TOP",1
1,"HERB","Carex pensylvanica","BOTTOM",49
1,"HERB","Carex pensylvanica","MIDDLE",100
1,"HERB","Carex pensylvanica","TOP",81
1,"HERB","Cystopteris fragilis","TOP",10
1,"HERB","Desmodium nudiflorum","BOTTOM",1
1,"HERB","Desmodium nudiflorum","TOP",4
1,"HERB","Desmodium rotundifolium","TOP",6
1,"HERB","Festuca obtusa","MIDDLE",2
1,"HERB","Festuca obtusa","TOP",1
1,"HERB","Galium boreale","BOTTOM",1
1,"HERB","Galium boreale","MIDDLE",25
1,"HERB","Galium boreale","TOP",15
1,"HERB","Galium circaezans","BOTTOM",1
1,"HERB","Galium circaezans","MIDDLE",3
1,"HERB","Galium circaezans","TOP",1
1,"HERB","Geranium maculatum","BOTTOM",13
1,"HERB","Geranium maculatum","MIDDLE",18
1,"HERB","Geranium maculatum","TOP",1
1,"HERB","Helianthus divaricatus","BOTTOM",1
1,"HERB","Helianthus divaricatus","MIDDLE",1
1,"HERB","Helianthus divaricatus","TOP",7
1,"HERB","Hepatica americana","BOTTOM",48
1,"HERB","Hepatica americana","MIDDLE",180
1,"HERB","Hepatica americana","TOP",50
1,"HERB","Heuchera richardsonii","BOTTOM",1
1,"HERB","Heuchera richardsonii","MIDDLE",1
1,"HERB","Heuchera richardsonii","TOP",1
1,"HERB","Hieracium venosum","MIDDLE",1
1,"HERB","Hieracium venosum","TOP",1
1,"HERB","Hystrix patula","MIDDLE",1
1,"HERB","Hystrix patula","TOP",1
1,"HERB","Lathyrus ochroleucus","BOTTOM",1
1,"HERB","Lathyrus ochroleucus","MIDDLE",1
1,"HERB","Lathyrus ochroleucus","TOP",6
1,"HERB","Lysimachia quadrifolia","TOP",1
1,"HERB","Monarda fistulosa","BOTTOM",1
1,"HERB","Panicum dichotomum","TOP",1
1,"HERB","Phryma leptostachya","BOTTOM",1
1,"HERB","Poa compressa","BOTTOM",1
1,"HERB","Poa compressa","MIDDLE",6
1,"HERB","Poa compressa","TOP",8
1,"HERB","Poa pratensis","MIDDLE",1
1,"HERB","Poa pratensis","TOP",1
1,"HERB","Polygonatum biflorum","BOTTOM",1
1,"HERB","Polygonatum biflorum","MIDDLE",6
1,"HERB","Polygonatum biflorum","TOP",3
1,"HERB","Potentilla simplex","MIDDLE",1
1,"HERB","Prenanthes alba","MIDDLE",1
1,"HERB","Prenanthes alba","TOP",2
1,"HERB","Prunella vulgaris","BOTTOM",1
1,"HERB","Prunella vulgaris","MIDDLE",1
1,"HERB","Prunella vulgaris","TOP",1
1,"HERB","Pteridium aquilinum","BOTTOM",1
1,"HERB","Pteridium aquilinum","MIDDLE",71
1,"HERB","Pteridium aquilinum","TOP",203
1,"HERB","Rubus flagellaris","BOTTOM",7
1,"HERB","Rubus flagellaris","MIDDLE",1
1,"HERB","Rubus flagellaris","TOP",2
1,"HERB","Rubus occidentalis","BOTTOM",12
1,"HERB","Rubus occidentalis","MIDDLE",1
1,"HERB","Rubus occidentalis","TOP",1
1,"HERB","Rudberckia hirta","TOP",1
1,"HERB","Sanicula sp.","BOTTOM",2
1,"HERB","Sanicula sp.","MIDDLE",1
1,"HERB","Sanicula sp.","TOP",1
1,"HERB","Smilacina racemosa","BOTTOM",34
1,"HERB","Smilacina racemosa","MIDDLE",32
1,"HERB","Smilacina racemosa","TOP",12
1,"HERB","Solidago nemoralis","MIDDLE",1
1,"HERB","Solidago nemoralis","TOP",1
1,"HERB","Taenidia integerrima","BOTTOM",1
1,"HERB","Taenidia integerrima","MIDDLE",1
1,"HERB","Taenidia integerrima","TOP",1
1,"HERB","Thalictrum dioicum","BOTTOM",4
1,"HERB","Thalictrum dioicum","MIDDLE",76
1,"HERB","Thalictrum dioicum","TOP",6
1,"HERB","Uvularia grandiflora","BOTTOM",1
1,"HERB","Uvularia grandiflora","MIDDLE",1
1,"HERB","Uvularia grandiflora","TOP",1
1,"HERB","Veronicastrum virginianum","BOTTOM",1
1,"HERB","Veronicastrum virginianum","MIDDLE",5
1,"HERB","Veronicastrum virginianum","TOP",1
1,"HERB","Viola sororia","BOTTOM",1
1,"HERB","Viola sororia","MIDDLE",8
1,"HERB","Viola sororia","TOP",1
1,"WOODY","Acer rubrum","BOTTOM",9
1,"WOODY","Acer rubrum","TOP",4
1,"WOODY","Amelanchier arborea","BOTTOM",1
1,"WOODY","Amelanchier arborea","MIDDLE",1
1,"WOODY","Amelanchier arborea","TOP",1
1,"WOODY","Amelanchier laevis","TOP",10
1,"WOODY","Amelanchier sanguinea","BOTTOM",2
1,"WOODY","Amelanchier sanguinea","MIDDLE",1
1,"WOODY","Carya spp.","BOTTOM",2
1,"WOODY","Carya spp.","MIDDLE",31
1,"WOODY","Carya spp.","TOP",19
1,"WOODY","Cornus racemosa","BOTTOM",1
1,"WOODY","Cornus racemosa","TOP",1
1,"WOODY","Crataegus spp.","BOTTOM",1
1,"WOODY","Crataegus spp.","MIDDLE",1
1,"WOODY","Crataegus spp.","TOP",1
1,"WOODY","Gaylussacia baccata","MIDDLE",31
1,"WOODY","Gaylussacia baccata","TOP",82
1,"WOODY","Hamamelis virginiana","BOTTOM",42
1,"WOODY","Hamamelis virginiana","MIDDLE",22
1,"WOODY","Hamamelis virginiana","TOP",29
1,"WOODY","Juniperus communis","MIDDLE",1
1,"WOODY","Juniperus communis","TOP",1
1,"WOODY","Prunus serotina","BOTTOM",44
1,"WOODY","Prunus serotina","MIDDLE",2189
1,"WOODY","Prunus serotina","TOP",113
1,"WOODY","Prunus virginiana","BOTTOM",162
1,"WOODY","Prunus virginiana","MIDDLE",106
1,"WOODY","Prunus virginiana","TOP",75
1,"WOODY","Quercus alba","BOTTOM",17
1,"WOODY","Quercus rubra","BOTTOM",22
1,"WOODY","Quercus rubra","MIDDLE",15
1,"WOODY","Quercus rubra","TOP",7
1,"WOODY","Quercus velutina","MIDDLE",5
1,"WOODY","Ribes cynosbati","BOTTOM",4
1,"WOODY","Ribes cynosbati","MIDDLE",1
1,"WOODY","Rosa carolina","BOTTOM",7
1,"WOODY","Rosa carolina","MIDDLE",1
1,"WOODY","Rosa carolina","TOP",10
1,"WOODY","Sassafras albidum","MIDDLE",15
1,"WOODY","Sassafras albidum","TOP",12
1,"WOODY","Tilia americana","MIDDLE",1
1,"WOODY","Tilia americana","TOP",1
1,"WOODY","Vaccinium corymbosum","TOP",141
1,"WOODY","Vitis spp.","MIDDLE",1
2,"HERB","Agropyron trachycaulum","BOTTOM",1
2,"HERB","Amphicarpa bracteata","BOTTOM",54
2,"HERB","Amphicarpa bracteata","MIDDLE",658
2,"HERB","Amphicarpa bracteata","TOP",1213
2,"HERB","Andropogon gerardi","BOTTOM",1
2,"HERB","Andropogon gerardi","TOP",12
2,"HERB","Andropogon scoparius","TOP",1
2,"HERB","Antennaria fallax","BOTTOM",1
2,"HERB","Antennaria fallax","MIDDLE",1
2,"HERB","Antennaria fallax","TOP",14
2,"HERB","Apocynum androsaemifolium","BOTTOM",1
2,"HERB","Apocynum androsaemifolium","MIDDLE",1
2,"HERB","Apocynum androsaemifolium","TOP",1
2,"HERB","Asclepias syriaca","BOTTOM",1
2,"HERB","Asclepias syriaca","MIDDLE",5
2,"HERB","Asclepias syriaca","TOP",1
2,"HERB","Aster sagittifolius","BOTTOM",1
2,"HERB","Aster sagittifolius","MIDDLE",1
2,"HERB","Aster sagittifolius","TOP",1
2,"HERB","Carex pensylvanica","BOTTOM",269
2,"HERB","Carex pensylvanica","MIDDLE",246
2,"HERB","Carex pensylvanica","TOP",399
2,"HERB","Desmodium nudiflorum","BOTTOM",1
2,"HERB","Desmodium nudiflorum","MIDDLE",1
2,"HERB","Desmodium nudiflorum","TOP",1
2,"HERB","Desmodium paniculatum","BOTTOM",1
2,"HERB","Erigeron pulchellus","BOTTOM",5
2,"HERB","Erigeron pulchellus","MIDDLE",1
2,"HERB","Euphorbia corrolata","BOTTOM",1
2,"HERB","Euphorbia corrolata","TOP",1
2,"HERB","Galium circaezans","BOTTOM",3
2,"HERB","Galium circaezans","MIDDLE",17
2,"HERB","Galium circaezans","TOP",2
2,"HERB","Galium pilosum","BOTTOM",38
2,"HERB","Galium pilosum","MIDDLE",42
2,"HERB","Galium pilosum","TOP",38
2,"HERB","Geranium maculatum","BOTTOM",1
2,"HERB","Helianthus divaricatus","BOTTOM",33
2,"HERB","Helianthus divaricatus","MIDDLE",19
2,"HERB","Helianthus divaricatus","TOP",21
2,"HERB","Hepatica americana","BOTTOM",1
2,"HERB","Hepatica americana","MIDDLE",19
2,"HERB","Hepatica americana","TOP",4
2,"HERB","Hieracium venosum","BOTTOM",23
2,"HERB","Hieracium venosum","MIDDLE",1
2,"HERB","Hieracium venosum","TOP",1
2,"HERB","Lespedeza intermedia","BOTTOM",1
2,"HERB","Lespedeza intermedia","MIDDLE",1
2,"HERB","Lespedeza intermedia","TOP",1
2,"HERB","Lespedeza virginica","BOTTOM",6
2,"HERB","Lespedeza virginica","MIDDLE",2
2,"HERB","Lespedeza virginica","TOP",9
2,"HERB","Lysimachia quadrifolia","BOTTOM",1
2,"HERB","Monarda fistulosa","BOTTOM",20
2,"HERB","Monarda fistulosa","MIDDLE",51
2,"HERB","Monarda fistulosa","TOP",7
2,"HERB","Panicum dichotomum","BOTTOM",18
2,"HERB","Panicum dichotomum","MIDDLE",1
2,"HERB","Panicum dichotomum","TOP",3
2,"HERB","Phlox pilosa","BOTTOM",1
2,"HERB","Phlox pilosa","MIDDLE",1
2,"HERB","Phlox pilosa","TOP",1
2,"HERB","Poa compressa","BOTTOM",7
2,"HERB","Poa compressa","MIDDLE",52
2,"HERB","Poa compressa","TOP",79
2,"HERB","Poa pratensis","BOTTOM",91
2,"HERB","Poa pratensis","MIDDLE",61
2,"HERB","Poa pratensis","TOP",91
2,"HERB","Polygonatum biflorum","BOTTOM",1
2,"HERB","Polygonatum biflorum","MIDDLE",4
2,"HERB","Polygonatum biflorum","TOP",8
2,"HERB","Potentilla simplex","BOTTOM",14
2,"HERB","Potentilla simplex","TOP",4
2,"HERB","Prenanthes alba","BOTTOM",1
2,"HERB","Prenanthes alba","MIDDLE",1
2,"HERB","Pteridium aquilinum","BOTTOM",179
2,"HERB","Pteridium aquilinum","MIDDLE",376
2,"HERB","Pteridium aquilinum","TOP",243
2,"HERB","Rubus flagellaris","BOTTOM",2
2,"HERB","Rubus flagellaris","MIDDLE",27
2,"HERB","Rubus flagellaris","TOP",86
2,"HERB","Rubus occidentalis","BOTTOM",1
2,"HERB","Rubus occidentalis","MIDDLE",1
2,"HERB","Rubus occidentalis","TOP",2
2,"HERB","Rudberckia hirta","BOTTOM",1
2,"HERB","Rudberckia hirta","MIDDLE",2
2,"HERB","Rudberckia hirta","TOP",12
2,"HERB","Senecio pauperculus","BOTTOM",1
2,"HERB","Senecio pauperculus","MIDDLE",1
2,"HERB","Smilacina racemosa","BOTTOM",1
2,"HERB","Smilacina racemosa","MIDDLE",1
2,"HERB","Smilacina racemosa","TOP",1
2,"HERB","Solidago juncea","BOTTOM",4
2,"HERB","Solidago juncea","MIDDLE",1
2,"HERB","Solidago juncea","TOP",1
2,"HERB","Solidago nemoralis","BOTTOM",1
2,"HERB","Solidago nemoralis","MIDDLE",21
2,"HERB","Solidago nemoralis","TOP",1
2,"HERB","Taenidia integerrima","BOTTOM",1
2,"HERB","Taenidia integerrima","MIDDLE",6
2,"HERB","Taenidia integerrima","TOP",27
2,"HERB","Vicia carolina","BOTTOM",21
2,"HERB","Vicia carolina","MIDDLE",14
2,"HERB","Vicia carolina","TOP",9
2,"WOODY","Acer rubrum","BOTTOM",32
2,"WOODY","Acer rubrum","MIDDLE",9
2,"WOODY","Acer rubrum","TOP",5
2,"WOODY","Amelanchier arborea","BOTTOM",2
2,"WOODY","Amelanchier arborea","MIDDLE",1
2,"WOODY","Amelanchier arborea","TOP",13
2,"WOODY","Amelanchier laevis","BOTTOM",8
2,"WOODY","Amelanchier laevis","TOP",1
2,"WOODY","Amelanchier sanguinea","MIDDLE",1
2,"WOODY","Amelanchier sanguinea","TOP",1
2,"WOODY","Carya spp.","BOTTOM",111
2,"WOODY","Carya spp.","MIDDLE",77
2,"WOODY","Carya spp.","TOP",234
2,"WOODY","Ceanothus americanus","BOTTOM",1
2,"WOODY","Crataegus sp.","BOTTOM",3
2,"WOODY","Crataegus sp.","MIDDLE",1
2,"WOODY","Crataegus sp.","TOP",5
2,"WOODY","Hamamelis virginiana","TOP",1
2,"WOODY","Juniperus communis","BOTTOM",1
2,"WOODY","Juniperus communis","MIDDLE",1
2,"WOODY","Juniperus communis","TOP",7
2,"WOODY","Prunus serotina","BOTTOM",296
2,"WOODY","Prunus serotina","MIDDLE",72
2,"WOODY","Prunus serotina","TOP",114
2,"WOODY","Prunus virginiana","BOTTOM",1
2,"WOODY","Prunus virginiana","TOP",1
2,"WOODY","Quercus alba","BOTTOM",112
2,"WOODY","Quercus alba","MIDDLE",62
2,"WOODY","Quercus alba","TOP",222
2,"WOODY","Quercus velutina","BOTTOM",89
2,"WOODY","Quercus velutina","MIDDLE",110
2,"WOODY","Quercus velutina","TOP",155
2,"WOODY","Ribes cynosbati","BOTTOM",1
2,"WOODY","Ribes cynosbati","MIDDLE",1
2,"WOODY","Ribes cynosbati","TOP",1
2,"WOODY","Rosa carolina","BOTTOM",1
2,"WOODY","Rosa carolina","MIDDLE",19
2,"WOODY","Rosa carolina","TOP",23
2,"WOODY","Sassafras albidum","BOTTOM",47
2,"WOODY","Sassafras albidum","MIDDLE",16
2,"WOODY","Sassafras albidum","TOP",1
2,"WOODY","Tilia americana","BOTTOM",1
2,"WOODY","Tilia americana","TOP",1
2,"WOODY","Vaccinium corymbosum","BOTTOM",1
2,"WOODY","Vitis sp.","BOTTOM",2
2,"WOODY","Vitis sp.","MIDDLE",5
2,"WOODY","Vitis sp.","TOP",4
3,"HERB","Agropyron trachycaulum","BOTTOM",1
3,"HERB","Agropyron trachycaulum","MIDDLE",1
3,"HERB","Amphicarpa bracteata","BOTTOM",635
3,"HERB","Amphicarpa bracteata","MIDDLE",522
3,"HERB","Amphicarpa bracteata","TOP",198
3,"HERB","Andropogon gerardi","BOTTOM",1
3,"HERB","Andropogon gerardi","MIDDLE",1
3,"HERB","Andropogon gerardi","TOP",38
3,"HERB","Andropogon scoparius","TOP",64
3,"HERB","Anemonella thalictroides","BOTTOM",29
3,"HERB","Anemonella thalictroides","MIDDLE",4
3,"HERB","Anemonella thalictroides","TOP",8
3,"HERB","Antennaria fallax","BOTTOM",4
3,"HERB","Antennaria fallax","MIDDLE",1
3,"HERB","Antennaria fallax","TOP",7
3,"HERB","Apocynum androsaemifolium","MIDDLE",1
3,"HERB","Apocynum androsaemifolium","TOP",16
3,"HERB","Asclepias syriaca","BOTTOM",1
3,"HERB","Asclepias syriaca","MIDDLE",1
3,"HERB","Asclepias syriaca","TOP",1
3,"HERB","Aster sagittifolius","BOTTOM",1
3,"HERB","Aster sagittifolius","MIDDLE",1
3,"HERB","Aster sagittifolius","TOP",7
3,"HERB","Carex pensylvanica","BOTTOM",264
3,"HERB","Carex pensylvanica","MIDDLE",399
3,"HERB","Carex pensylvanica","TOP",206
3,"HERB","Desmodium nudiflorum","BOTTOM",13
3,"HERB","Desmodium nudiflorum","MIDDLE",1
3,"HERB","Desmodium nudiflorum","TOP",1
3,"HERB","Desmodium paniculatum","BOTTOM",1
3,"HERB","Desmodium paniculatum","MIDDLE",1
3,"HERB","Desmodium paniculatum","TOP",1
3,"HERB","Erigeron pulchellus","BOTTOM",8
3,"HERB","Erigeron pulchellus","MIDDLE",1
3,"HERB","Euphorbia corrolata","BOTTOM",1
3,"HERB","Euphorbia corrolata","MIDDLE",1
3,"HERB","Euphorbia corrolata","TOP",3
3,"HERB","Galium circaezans","BOTTOM",24
3,"HERB","Galium circaezans","MIDDLE",7
3,"HERB","Galium circaezans","TOP",7
3,"HERB","Galium pilosum","BOTTOM",16
3,"HERB","Galium pilosum","MIDDLE",19
3,"HERB","Galium pilosum","TOP",13
3,"HERB","Helianthus divaricatus","BOTTOM",33
3,"HERB","Helianthus divaricatus","MIDDLE",24
3,"HERB","Helianthus divaricatus","TOP",38
3,"HERB","Hepatica americana","BOTTOM",5
