"Measurement_Date","Plot_ID","Direction_Facing","Protected_or_Open","Approximate_Latitude_N","Approximate_Longitude_W","Slope_Percent","Topographic_Position","Downhill_Compass_Bearing"
1957-08-27,1,"N","P",42.4608,-84.0088,53,"Side of esker","N 16 W"
1957-08-26,2,"S","O",42.4606,-84.009,43,"Side of esker","S 16 E"
1957-08-26,3,"S","O",42.4607,-83.9993,39,"Side of esker","S 15 W"
1957-08-30,4,"S","O",42.4608,-84.0007,46,"Side of esker","S 4 W"
1957-08-29,6,"N","P",42.4622,-84.0046,36,"Side of kettle","N 2 E"
1957-08-29,7,"S","P",42.4627,-84.0046,39,"Side of kettle","S 7 W"
1957-08-31,8,"N","O",42.4587,-84.0093,60,"Side of kettle","N 18 E"
1957-08-30,9,"S","O",42.461,-84.0015,54,"Side of esker","S 19 W"
1957-08-31,10,"N","P",42.4581,-84.0104,54,"Side of kettle","N 10 E"
1957-08-29,11,"N","O",42.463,-84.0146,50,"Side of out-wash fan","N 4 E"
1957-08-27,12,"S","O",42.4605,-84.0085,50,"Side of esker","S 14 E"
1957-08-28,13,"N","O",42.4605,-84.0073,40,"Side of esker","N 10 W"
1957-08-30,14,"S","P",42.4626,-84.0067,41,"Side of kettle","S 15 W"
1957-08-29,15,"N","O",42.4646,-84.0114,51,"Side of out-wash fan","N 2 E"
1957-08-28,16,"N","P",42.4578,-84.0108,52,"Side of kettle","N 18 W"
1957-08-28,17,"S","O",42.4613,-84.0025,31,"Side of esker","S 20 W"
1957-09-04,18,"E",NA,NA,NA,NA,NA,NA
1957-09-07,19,"W",NA,NA,NA,NA,NA,NA
