"Plot_ID","Species","Subplot_ID","DBH","Status"
1,"Acer rubrum",2,3.4,"A"
1,"Acer rubrum",2,1.7,"A"
1,"Acer rubrum",3,4.8,"A"
1,"Acer rubrum",4,1.5,"A"
1,"Acer rubrum",5,3.6,"A"
1,"Acer rubrum",6,2.4,"A"
1,"Amelanchier arborea",3,1.4,"A"
1,"Amelanchier arborea",5,1.3,"A"
1,"Amelanchier laevis",1,1.1,"A"
1,"Amelanchier laevis",3,1,"A"
1,"Amelanchier laevis",3,1.4,"A"
1,"Amelanchier laevis",3,1.6,"A"
1,"Amelanchier laevis",5,1.7,"A"
1,"Amelanchier sanguinea",4,0.5,"D"
1,"Carya ovalis",4,8.2,"A"
1,"Carya ovalis",4,8.1,"A"
1,"Carya ovalis",4,13.5,"A"
1,"Carya ovalis",8,1.7,"A"
1,"Carya ovalis",8,2.4,"A"
1,"Hamamelis virginiana",1,NA,"D"
1,"Hamamelis virginiana",1,NA,"D"
1,"Hamamelis virginiana",1,NA,"D"
1,"Hamamelis virginiana",1,NA,"D"
1,"Hamamelis virginiana",2,NA,"D"
1,"Hamamelis virginiana",4,NA,"D"
1,"Hamamelis virginiana",4,NA,"D"
1,"Hamamelis virginiana",4,NA,"D"
1,"Hamamelis virginiana",4,NA,"D"
1,"Hamamelis virginiana",4,NA,"D"
1,"Hamamelis virginiana",5,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",7,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Hamamelis virginiana",8,NA,"D"
1,"Prunus serotina",1,3,"A"
1,"Prunus serotina",2,1,"A"
1,"Prunus serotina",2,4,"A"
1,"Prunus serotina",2,3.6,"A"
1,"Prunus serotina",2,3.3,"A"
1,"Prunus serotina",3,1.2,"A"
1,"Prunus serotina",3,1,"A"
1,"Prunus serotina",3,5.4,"A"
1,"Prunus serotina",5,1.6,"A"
1,"Prunus serotina",5,1,"A"
1,"Prunus serotina",6,1.2,"A"
1,"Prunus serotina",8,3.7,"A"
1,"Prunus serotina",8,0.5,"D"
1,"Prunus virginiana",1,1.1,"A"
1,"Prunus virginiana",1,1.5,"A"
1,"Prunus virginiana",1,1.2,"A"
1,"Prunus virginiana",1,0.8,"D"
1,"Prunus virginiana",2,2.1,"A"
1,"Prunus virginiana",2,1.9,"A"
1,"Prunus virginiana",2,1,"A"
1,"Prunus virginiana",2,2,"A"
1,"Prunus virginiana",2,1,"A"
1,"Prunus virginiana",2,1.9,"A"
1,"Prunus virginiana",3,1,"A"
1,"Prunus virginiana",4,1.6,"A"
1,"Prunus virginiana",4,1.4,"A"
1,"Prunus virginiana",4,2.2,"A"
1,"Prunus virginiana",6,1,"A"
1,"Prunus virginiana",7,1.3,"A"
1,"Prunus virginiana",7,1.8,"A"
1,"Prunus virginiana",8,1.5,"A"
1,"Prunus virginiana",8,1.1,"A"
1,"Prunus virginiana",8,0.4,"D"
1,"Prunus virginiana",9,1.3,"A"
1,"Quercus alba",1,11.7,"A"
1,"Quercus alba",2,24,"A"
1,"Quercus alba",2,12.9,"A"
1,"Quercus alba",2,10.6,"A"
1,"Quercus alba",3,9.6,"A"
1,"Quercus alba",3,8,"A"
1,"Quercus alba",4,14.4,"A"
1,"Quercus alba",5,7.5,"A"
1,"Quercus alba",6,7.9,"A"
1,"Quercus alba",6,10.1,"A"
1,"Quercus alba",6,11.5,"A"
1,"Quercus alba",7,3.8,"A"
1,"Quercus alba",8,6.3,"A"
1,"Quercus alba",8,11.2,"A"
1,"Quercus alba",9,9.4,"A"
1,"Quercus alba",9,7.3,"A"
1,"Quercus alba",9,8.9,"A"
1,"Quercus rubra",4,23.8,"A"
1,"Quercus rubra",7,3.1,"A"
1,"Quercus rubra",7,7.4,"D"
1,"Quercus velutina",5,11.7,"A"
1,"Quercus velutina",5,14.3,"A"
1,"Quercus velutina",5,8,"A"
1,"Quercus velutina",6,9.6,"A"
1,"Quercus velutina",7,9.7,"A"
1,"Quercus velutina",7,9.4,"A"
1,"Quercus velutina",7,10.2,"A"
1,"Quercus velutina",7,16.2,"A"
