"Plot_ID","Species","Subplot_ID","Reproduction_Count"
1,"Amelanchier laevis",1,2
1,"Amelanchier laevis",3,2
1,"Amelanchier laevis",6,3
1,"Amelanchier laevis",7,1
1,"Amelanchier laevis",9,1
1,"Amelanchier sanguinea",4,7
1,"Hamamelis virginiana",1,31
1,"Hamamelis virginiana",2,3
1,"Hamamelis virginiana",4,42
1,"Hamamelis virginiana",5,15
1,"Hamamelis virginiana",7,101
1,"Hamamelis virginiana",8,47
1,"Prunus serotina",1,1
1,"Prunus serotina",2,1
1,"Prunus serotina",3,3
1,"Prunus serotina",4,3
1,"Prunus serotina",5,3
1,"Prunus serotina",6,4
1,"Prunus virginiana",1,10
1,"Prunus virginiana",2,13
1,"Prunus virginiana",3,14
1,"Prunus virginiana",4,2
1,"Prunus virginiana",5,2
1,"Prunus virginiana",6,1
1,"Prunus virginiana",7,4
1,"Prunus virginiana",8,2
1,"Prunus virginiana",9,1
1,"Quercus rubra",7,1
1,"Vaccinium spp.",5,1
1,"Vaccinium spp.",6,10
2,"Crataegus spp.",6,1
2,"Prunus serotina",1,5
2,"Prunus serotina",2,5
2,"Prunus serotina",3,3
2,"Prunus serotina",5,1
2,"Prunus serotina",8,1
2,"Quercus alba",5,1
2,"Quercus velutina",6,1
2,"Quercus velutina",7,1
2,"Quercus velutina",9,1
3,"Crataegus spp.",6,2
3,"Prunus serotina",1,14
3,"Prunus serotina",2,12
3,"Prunus serotina",3,10
3,"Prunus serotina",4,1
3,"Prunus serotina",5,2
3,"Prunus serotina",6,3
3,"Prunus serotina",8,1
3,"Prunus serotina",9,3
4,"Amelanchier arborea",7,2
4,"Carya ovalis",7,1
4,"Prunus serotina",1,15
4,"Prunus serotina",2,23
4,"Prunus serotina",3,16
4,"Prunus serotina",4,6
4,"Prunus serotina",5,7
4,"Prunus serotina",6,2
4,"Prunus serotina",8,4
4,"Prunus serotina",9,1
6,"Amelanchier laevis",2,2
6,"Carya ovalis",9,2
6,"Hamamelis virginiana",1,4
6,"Hamamelis virginiana",3,5
6,"Hamamelis virginiana",4,16
6,"Hamamelis virginiana",7,7
6,"Prunus serotina",1,1
6,"Prunus serotina",2,3
6,"Prunus serotina",5,1
6,"Prunus serotina",8,2
6,"Prunus serotina",9,2
7,"Hamamelis virginiana",7,13
7,"Hamamelis virginiana",8,9
7,"Populua grandidentata",1,24
7,"Populua grandidentata",2,22
7,"Populua grandidentata",4,1
7,"Prunus serotina",1,1
7,"Prunus serotina",2,1
7,"Prunus serotina",3,4
7,"Prunus serotina",5,2
7,"Prunus serotina",6,7
7,"Prunus serotina",7,1
7,"Prunus serotina",9,13
7,"Quercus alba",3,2
7,"Quercus velutina",5,1
8,"Acer rubrum",1,2
8,"Acer rubrum",4,1
8,"Amelanchier laevis",1,2
8,"Amelanchier laevis",2,1
8,"Amelanchier sanguinea",1,3
8,"Amelanchier sanguinea",3,2
8,"Carya ovalis",9,1
8,"Hamamelis virginiana",1,31
8,"Hamamelis virginiana",2,12
8,"Hamamelis virginiana",3,3
8,"Hamamelis virginiana",6,2
8,"Prunus serotina",6,1
8,"Prunus serotina",9,1
8,"Quercus rubra",8,4
8,"Quercus rubra",9,1
8,"Vaccinium spp.",4,1
8,"Vaccinium spp.",6,2
8,"Vaccinium spp.",7,1
8,"Vaccinium spp.",8,1
8,"Vaccinium spp.",9,5
9,"Crataegus spp.",8,3
9,"Prunus serotina",1,2
9,"Prunus serotina",2,14
9,"Prunus serotina",3,10
9,"Prunus serotina",4,2
9,"Prunus serotina",6,3
9,"Prunus serotina",7,1
9,"Quercus alba",7,1
10,"Amelanchier laevis",2,2
10,"Amelanchier laevis",4,1
10,"Amelanchier laevis",8,2
10,"Amelanchier laevis",9,1
10,"Amelanchier sanguinea",1,1
10,"Amelanchier sanguinea",5,1
10,"Amelanchier sanguinea",7,2
10,"Hamamelis virginiana",1,45
10,"Hamamelis virginiana",2,25
10,"Hamamelis virginiana",3,27
10,"Hamamelis virginiana",4,57
10,"Hamamelis virginiana",5,42
10,"Hamamelis virginiana",6,45
10,"Hamamelis virginiana",7,44
10,"Hamamelis virginiana",8,24
10,"Hamamelis virginiana",9,24
10,"Prunus serotina",4,2
10,"Prunus serotina",7,2
10,"Prunus serotina",8,8
10,"Prunus serotina",9,5
10,"Prunus virginiana",5,1
11,"Amelanchier arborea",8,2
11,"Amelanchier sanguinea",6,3
11,"Amelanchier sanguinea",8,4
11,"Carya ovalis",7,1
11,"Hamamelis virginiana",1,33
11,"Hamamelis virginiana",2,10
11,"Hamamelis virginiana",3,13
11,"Hamamelis virginiana",4,20
11,"Hamamelis virginiana",5,55
11,"Hamamelis virginiana",6,14
11,"Hamamelis virginiana",7,61
11,"Hamamelis virginiana",8,42
11,"Prunus serotina",1,2
11,"Prunus serotina",2,2
11,"Prunus serotina",4,1
11,"Prunus serotina",5,1
11,"Prunus serotina",6,3
12,"Crataegus spp.",7,2
12,"Prunus serotina",1,1
12,"Prunus serotina",4,1
12,"Prunus serotina",7,3
12,"Quercus alba",1,1
12,"Quercus alba",2,1
12,"Quercus rubra",2,3
12,"Quercus velutina",9,1
12,"Vaccinium spp",1,1
13,"Amelanchier arborea",8,1
13,"Carya ovalis",6,1
13,"Crataegus spp.",7,1
13,"Prunus americana",7,2
13,"Prunus serotina",1,1
13,"Prunus serotina",2,2
13,"Prunus serotina",3,11
13,"Prunus serotina",4,7
13,"Prunus serotina",5,1
13,"Prunus serotina",6,8
13,"Prunus serotina",7,3
13,"Prunus serotina",8,4
13,"Prunus serotina",9,7
13,"Prunus virginiana",8,3
13,"Quercus alba",4,1
13,"Quercus rubra",7,2
13,"Quercus rubra",8,1
13,"Quercus rubra",9,1
14,"Amelanchier sanguinea",5,1
14,"Carya ovalis",6,1
14,"Hamamelis virginiana",1,2
14,"Hamamelis virginiana",3,32
14,"Hamamelis virginiana",4,9
14,"Hamamelis virginiana",7,48
14,"Prunus serotina",3,1
14,"Prunus serotina",4,4
14,"Prunus serotina",5,14
14,"Prunus serotina",6,8
14,"Prunus serotina",7,24
14,"Prunus serotina",8,27
14,"Prunus serotina",9,35
14,"Prunus virginiana",4,4
14,"Prunus virginiana",6,1
14,"Sassafras albidum",1,2
14,"Sassafras albidum",4,4
14,"Sassafras albidum",5,1
14,"Sassafras albidum",7,3
15,"Prunus serotina",2,1
15,"Prunus serotina",4,2
15,"Prunus serotina",5,1
15,"Prunus serotina",7,5
15,"Prunus serotina",9,3
16,"Acer rubrum",2,3
16,"Acer rubrum",3,1
16,"Acer rubrum",4,1
16,"Acer rubrum",5,2
16,"Acer rubrum",6,2
16,"Acer rubrum",8,1
16,"Amelanchier arborea",5,1
16,"Amelanchier arborea",9,1
16,"Amelanchier laevis",1,1
16,"Amelanchier laevis",3,2
16,"Amelanchier laevis",5,1
16,"Amelanchier laevis",6,2
16,"Prunus serotina",4,3
16,"Prunus serotina",6,1
16,"Prunus serotina",7,3
16,"Prunus serotina",8,1
16,"Prunus virginiana",9,1
16,"Tilia americana",1,1
16,"Tilia americana",3,2
16,"Tilia americana",4,1
17,"Amelanchier laevis",1,1
17,"Amelanchier laevis",2,1
17,"Amelanchier laevis",6,2
