Plot #,Type,Species,Bottom,Middle,Top
1,woody,Acer rubrum,9,0,4
1,woody,Amelanchier arborea,1,1,1
1,woody,Amelanchier laevis,0,0,10
1,woody,Amelanchier sanguinea,2,1,0
1,woody,Carya spp.,2,31,19
1,woody,Crataegus spp.,1,1,1
1,woody,Fraxinus americana,0,0,0
1,woody,Hamamelis virginiana,42,22,29
1,woody,Populus grandidentata,0,0,0
1,woody,Prunus serotina,44,2189,113
1,woody,Prunus virginiana,162,106,75
1,woody,Quercus alba,17,0,0
1,woody,Quercus rubra,22,15,7
1,woody,Quercus velutina,0,5,0
1,woody,Sassafras albidum,0,15,12
1,woody,Tilia americana,0,1,1
1,woody,Ceanothus americana,0,0,0
1,woody,Celastrus scandens,0,0,0
1,woody,Cornus racemosa,1,0,1
1,woody,Gaylussacia baccata,0,31,82
1,woody,Juniperus communis,0,1,1
1,woody,Parthenocissus quinquefolia,0,0,0
1,woody,Ribes cynosbati,4,1,0
1,woody,Rosa carolina,7,1,10
1,woody,Vaccinium corymbosum,0,0,141
1,woody,Vitis spp.,0,1,0
1,herb,Antennaria fallax,0,0,0
1,herb,Agropyron trachycaulum,0,0,0
1,herb,Amphicarpa bracteata,1,1,7
1,herb,Amph. Bract. V com.,0,0,0
1,herb,Andropogon gerardi,0,0,0
1,herb,Andropogon scoparius,0,0,0
1,herb,Aster macrophyllus,1,4,12
1,herb,Aster sagittifolius,2,1,1
1,herb,Cystopteris fragilis,0,0,10
1,herb,Desmodium nudiflorum,1,0,4
1,herb,Desmodium paniculatum,0,0,0
1,herb,Desmodium rotundifolium,0,0,6
1,herb,Erigeron pulchellus,0,0,0
1,herb,Festuca obtusa,0,2,1
1,herb,Galium boreale,1,25,15
1,herb,Galium circaezans,1,3,1
1,herb,Galium pilosum,0,0,0
1,herb,Galium triflorum,0,0,0
1,herb,Geranium maculatum,13,18,1
1,herb,Hepatica americana,48,180,50
1,herb,Heuchera richardsonii,1,1,1
1,herb,Hieracium venosum,0,1,1
1,herb,Hystrix patula,0,1,1
1,herb,Lathyrus ochroleucus,1,1,6
1,herb,Lespedeza intermedia,0,0,0
1,herb,Lespedeza virginica,0,0,0
1,herb,Lysimachia quadrifolia,0,0,1
1,herb,Monarda fistulosa,1,0,0
1,herb,Oenothera biennis,0,0,0
1,herb,Osmorhiza claytoni,0,0,0
1,herb,Panicum dichotomum,0,0,1
1,herb,Panicum latifolium,0,0,0
1,herb,Pedicularis canadensis,0,0,0
1,herb,Phlox pilosa,0,0,0
1,herb,Phryma leptostachya,1,0,0
1,herb,Poa compressa,1,6,8
1,herb,Potentilla simplex,0,1,0
1,herb,Prenanthes alba,0,1,2
1,herb,Prunella vulgaris,1,1,1
1,herb,Rubus flagellaris,7,1,2
1,herb,Rubus occidentalis,12,1,1
1,herb,Rudberckia hirta,0,0,1
1,herb,Sanicula sp.,2,1,1
1,herb,Senecio pauperculus,0,0,0
1,herb,Solidago juncea,0,0,0
1,herb,Solidago nemoralis,0,1,1
1,herb,Taenidia integerrima,1,1,1
1,herb,Thalictrum dioicum,4,76,6
1,herb,Vicia carolina,0,0,0
1,herb,Viola sororia,1,8,1
1,herb,Adiantum pedatum,0,0,0
1,herb,Anemonella thalictroides,11,22,1
1,herb,Apocynum androsaemifolium,0,0,1
1,herb,Asclepias exaltata,0,0,0
1,herb,Asclepias syriaca,0,0,0
1,herb,Carex pensylvanica,49,100,81
1,herb,Euphorbia corrolata,0,0,0
1,herb,Poa pratensis,0,1,1
1,herb,Polygonatum biflorum,1,6,3
1,herb,Pteridium aquilinum,1,71,203
1,herb,Smilacina racemosa,34,32,12
1,herb,Uvularia grandiflora,1,1,1
1,herb,Veronicastrum virginianum,1,5,1
1,herb,Helianthus divaricatus,1,1,7
1,herb,Parietaria pensylvanica,0,0,0
2,woody,Acer rubrum,32,9,5
2,woody,Amelanchier arborea,2,1,13
2,woody,Amelanchier laevis,8,0,1
2,woody,Amelanchier sanguinea,0,1,1
2,woody,Carya spp.,111,77,234
2,woody,Crataegus sp.,3,1,5
2,woody,Fraxinus americana,0,0,0
2,woody,Hamamelis virginiana,0,0,1
2,woody,Populus grandidentata,0,0,0
2,woody,Prunus serotina,296,72,114
2,woody,Prunus virginiana,1,0,1
2,woody,Quercus alba,112,62,222
2,woody,Quercus rubra,0,0,0
2,woody,Quercus velutina,89,110,155
2,woody,Sassafras albidum,47,16,1
2,woody,Tilia americana,1,0,1
2,woody,Ceanothus americanus,1,0,0
2,woody,Celastrus scandens,0,0,0
2,woody,Cornus racemosa,0,0,0
2,woody,Gaylussacia baccata,0,0,0
2,woody,Juniperus communis,1,1,7
2,woody,Parthenocissus quinquefolia,0,0,0
2,woody,Ribes cynosbati,1,1,1
2,woody,Rosa carolina,1,19,23
2,woody,Vaccinium corymbosum,1,0,0
2,woody,Vitis sp.,2,5,4
2,herb,Antennaria fallax,1,1,14
2,herb,Agropyron trachycaulum,1,0,0
2,herb,Amphicarpa bracteata,54,658,1213
2,herb,Amph. Bract. V com.,0,0,0
2,herb,Andropogon gerardi,1,0,12
2,herb,Andropogon scoparius,0,0,1
2,herb,Aster macrophyllus,0,0,0
2,herb,Aster sagittifolius,1,1,1
2,herb,Cystopteris fragilis,0,0,0
2,herb,Desmodium nudiflorum,1,1,1
2,herb,Desmodium paniculatum,1,0,0
2,herb,Desmodium rotundifolium,0,0,0
2,herb,Erigeron pulchellus,5,1,0
2,herb,Festuca obtusa,0,0,0
2,herb,Galium boreale,0,0,0
2,herb,Galium circaezans,3,17,2
2,herb,Galium pilosum,38,42,38
2,herb,Galium triflorum,0,0,0
2,herb,Geranium maculatum,1,0,0
2,herb,Hepatica americana,1,19,4
2,herb,Heuchera richardsonii,0,0,0
2,herb,Hieracium venosum,23,1,1
2,herb,Hystrix patula,0,0,0
2,herb,Lathyrus ochroleucus,0,0,0
2,herb,Lespedeza intermedia,1,1,1
2,herb,Lespedeza virginica,6,2,9
2,herb,Lysimachia quadrifolia,1,0,0
2,herb,Monarda fistulosa,20,51,7
2,herb,Oenothera biennis,0,0,0
2,herb,Osmorhiza claytoni,0,0,0
2,herb,Panicum dichotomum,18,1,3
2,herb,Panicum latifolium,0,0,0
2,herb,Pedicularis canadensis,0,0,0
2,herb,Phlox pilosa,1,1,1
2,herb,Phryma leptostachya,0,0,0
2,herb,Poa compressa,7,52,79
2,herb,Potentilla simplex,14,0,4
2,herb,Prenanthes alba,1,1,0
2,herb,Prunella vulgaris,0,0,0
2,herb,Rubus flagellaris,2,27,86
2,herb,Rubus occidentalis,1,1,2
2,herb,Rudberckia hirta,1,2,12
2,herb,Sanicula sp.,0,0,0
2,herb,Senecio pauperculus,1,1,0
2,herb,Solidago juncea,4,1,1
2,herb,Solidago nemoralis,1,21,1
2,herb,Taenidia integerrima,1,6,27
2,herb,Thalictrum dioicum,0,0,0
2,herb,Vicia carolina,21,14,9
2,herb,Viola sororia,0,0,0
2,herb,Adiantum pedatum,0,0,0
2,herb,Anemonella thalictroides,0,0,0
2,herb,Apocynum androsaemifolium,1,1,1
2,herb,Asclepias exaltata,0,0,0
2,herb,Asclepias syriaca,1,5,1
2,herb,Carex pensylvanica,269,246,399
2,herb,Euphorbia corrolata,1,0,1
2,herb,Poa pratensis,91,61,91
2,herb,Polygonatum biflorum,1,4,8
2,herb,Pteridium aquilinum,179,376,243
2,herb,Smilacina racemosa,1,1,1
2,herb,Uvularia grandiflora,0,0,0
2,herb,Veronicastrum virginianum,0,0,0
2,herb,Helianthus divaricatus,33,19,21
2,herb,Parietaria pensylvanica,0,0,0
3,woody,Acer rubrum,10,29,21
3,woody,Amelanchier arborea,1,6,1
3,woody,Amelanchier laevis,1,1,0
3,woody,Amelanchier sanguinea,0,0,0
3,woody,Carya spp.,15,23,23
3,woody,Crataegus sp.,36,72,12
3,woody,Fraxinus americana,0,0,0
3,woody,Hamamelis virginiana,0,0,0
3,woody,Populus grandidentata,0,0,0
3,woody,Prunus serotina,891,393,117
3,woody,Prunus virginiana,1,17,2
3,woody,Quercus alba,50,55,8
3,woody,Quercus rubra,1,1,1
3,woody,Quercus velutina,19,29,92
3,woody,Sassafras albidum,1,1,1
3,woody,Tilia americana,0,0,0
3,woody,Ceanothus americanus,0,0,0
3,woody,Celastrus scandens,1,1,0
3,woody,Cornus racemosa,1,1,1
3,woody,Gaylussacia baccata,0,0,0
3,woody,Juniperus communis,1,1,1
3,woody,Parthenocissus quinquefolia,1,0,0
3,woody,Ribes cynosbati,1,1,0
3,woody,Rosa carolina,62,48,82
3,woody,Vaccinium corymbosum,0,0,0
3,woody,Vitis sp.,5,1,1
3,herb,Antennaria fallax,4,1,7
3,herb,Agropyron trachycaulum,1,1,0
3,herb,Amphicarpa bracteata,635,522,198
3,herb,Amph. Bract. V com.,0,0,0
3,herb,Andropogon gerardi,1,1,38
3,herb,Andropogon scoparius,0,0,64
3,herb,Aster macrophyllus,0,0,0
3,herb,Aster sagittifolius,1,1,7
3,herb,Cystopteris fragilis,0,0,0
3,herb,Desmodium nudiflorum,13,1,1
3,herb,Desmodium paniculatum,1,1,1
3,herb,Desmodium rotundifolium,0,0,0
3,herb,Erigeron pulchellus,8,1,0
3,herb,Festuca obtusa,0,0,0
3,herb,Galium boreale,0,0,0
3,herb,Galium circaezans,24,7,7
3,herb,Galium pilosum,16,19,13
3,herb,Galium triflorum,0,0,0
3,herb,Geranium maculatum,0,0,0
3,herb,Hepatica americana,5,8,1
3,herb,Heuchera richardsonii,0,0,0
3,herb,Hieracium venosum,6,18,40
3,herb,Hystrix patula,0,0,0
3,herb,Lathyrus ochroleucus,0,1,18
3,herb,Lespedeza intermedia,1,1,0
3,herb,Lespedeza virginica,7,25,11
3,herb,Lysimachia quadrifolia,20,0,0
3,herb,Monarda fistulosa,5,4,11
3,herb,Oenothera biennis,0,0,0
3,herb,Osmorhiza claytoni,0,0,0
3,herb,Panicum dichotomum,0,1,1
3,herb,Panicum latifolium,0,0,0
3,herb,Pedicularis canadensis,0,0,0
3,herb,Phlox pilosa,1,1,1
3,herb,Phryma leptostachya,0,0,0
3,herb,Poa compressa,15,3,58
3,herb,Potentilla simplex,1,0,27
3,herb,Prenanthes alba,1,0,0
3,herb,Prunella vulgaris,0,0,0
3,herb,Rubus flagellaris,36,34,64
3,herb,Rubus occidentalis,1,1,0
3,herb,Rudberckia hirta,0,0,0
3,herb,Sanicula sp.,1,0,0
3,herb,Senecio pauperculus,0,2,1
3,herb,Solidago juncea,1,9,7
3,herb,Solidago nemoralis,1,1,1
3,herb,Taenidia integerrima,16,49,30
3,herb,Thalictrum dioicum,0,0,0
3,herb,Vicia carolina,1,2,1
3,herb,Viola sororia,2,1,0
3,herb,Adiantum pedatum,0,0,0
3,herb,Anemonella thalictroides,29,4,8
3,herb,Apocynum androsaemifolium,0,1,16
3,herb,Asclepias exaltata,0,0,0
3,herb,Asclepias syriaca,1,1,1
3,herb,Carex pensylvanica,264,399,206
3,herb,Euphorbia corrolata,1,1,3
3,herb,Poa pratensis,70,77,92
3,herb,Polygonatum biflorum,1,1,1
3,herb,Pteridium aquilinum,69,305,1
3,herb,Smilacina racemosa,1,1,1
3,herb,Uvularia grandiflora,0,0,0
3,herb,Veronicastrum virginianum,0,0,0
3,herb,Helianthus divaricatus,33,24,38
3,herb,Parietaria pensylvanica,0,0,0
4,woody,Acer rubrum,41,19,18
4,woody,Amelanchier arborea,1,1,1
4,woody,Amelanchier laevis,1,1,1
4,woody,Amelanchier sanguinea,0,0,0
4,woody,Carya spp.,22,76,25
4,woody,Crataegus sp.,22,47,19
4,woody,Fraxinus americana,0,0,0
4,woody,Hamamelis virginiana,0,0,0
4,woody,Populus grandidentata,0,1,0
4,woody,Prunus serotina,802,421,524
4,woody,Prunus virginiana,3,1,1
4,woody,Quercus alba,28,1,25
4,woody,Quercus rubra,0,1,0
4,woody,Quercus velutina,1,62,12
4,woody,Sassafras albidum,1,6,1
4,woody,Tilia americana,0,1,1
4,woody,Ceanothus americanus,0,0,0
4,woody,Celastrus scandens,1,0,1
4,woody,Cornus racemosa,3,11,1
4,woody,Gaylussacia baccata,0,0,0
4,woody,Juniperus communis,1,1,18
4,woody,Parthenocissus quinquefolia,0,0,0
4,woody,Ribes cynosbati,1,0,17
4,woody,Rosa carolina,41,75,64
4,woody,Vaccinium corymbosum,0,0,0
4,woody,Vitis sp.,1,0,1
4,herb,Antennaria fallax,1,15,11
4,herb,Agropyron trachycaulum,0,0,0
4,herb,Amphicarpa bracteata,362,625,595
4,herb,Amph. Bract. V com.,0,0,0
4,herb,Andropogon gerardi,1,10,18
4,herb,Andropogon scoparius,1,1,1
4,herb,Aster macrophyllus,0,0,0
4,herb,Aster sagittifolius,1,3,0
4,herb,Cystopteris fragilis,0,0,0
4,herb,Desmodium nudiflorum,1,1,13
4,herb,Desmodium paniculatum,1,0,24
4,herb,Desmodium rotundifolium,0,1,0
4,herb,Erigeron pulchellus,1,1,10
4,herb,Festuca obtusa,0,0,0
4,herb,Galium boreale,0,0,0
4,herb,Galium circaezans,20,0,1
4,herb,Galium pilosum,11,18,10
4,herb,Galium triflorum,0,0,0
4,herb,Geranium maculatum,0,0,3
4,herb,Hepatica americana,0,0,0
4,herb,Heuchera richardsonii,0,0,0
4,herb,Hieracium venosum,6,14,31
4,herb,Hystrix patula,0,0,0
4,herb,Lathyrus ochroleucus,3,1,0
4,herb,Lespedeza intermedia,16,1,1
4,herb,Lespedeza virginica,4,9,8
4,herb,Lysimachia quadrifolia,0,1,0
4,herb,Monarda fistulosa,7,19,1
4,herb,Oenothera biennis,0,0,0
4,herb,Osmorhiza claytoni,0,0,0
4,herb,Panicum dichotomum,1,1,1
4,herb,Panicum latifolium,0,0,0
4,herb,Pedicularis canadensis,0,0,0
4,herb,Phlox pilosa,0,1,1
4,herb,Phryma leptostachya,0,0,0
4,herb,Poa compressa,5,31,23
4,herb,Potentilla simplex,4,6,2
4,herb,Prenanthes alba,0,2,1
4,herb,Prunella vulgaris,0,0,0
4,herb,Rubus flagellaris,8,18,40
4,herb,Rubus occidentalis,0,0,0
4,herb,Rudberckia hirta,0,0,0
4,herb,Sanicula sp.,0,0,0
4,herb,Senecio pauperculus,0,1,1
4,herb,Solidago juncea,2,1,36
4,herb,Solidago nemoralis,1,2,7
4,herb,Taenidia integerrima,17,13,36
4,herb,Thalictrum dioicum,0,0,0
4,herb,Vicia carolina,0,1,1
4,herb,Viola sororia,0,0,0
4,herb,Adiantum pedatum,0,0,0
4,herb,Anemonella thalictroides,1,0,0
4,herb,Apocynum androsaemifolium,0,0,154
4,herb,Asclepias exaltata,0,0,0
4,herb,Asclepias syriaca,1,1,1
4,herb,Carex pensylvanica,181,353,267
4,herb,Euphorbia corrolata,13,4,1
4,herb,Poa pratensis,41,22,77
4,herb,Polygonatum biflorum,1,1,1
4,herb,Pteridium aquilinum,64,110,133
4,herb,Smilacina racemosa,8,1,1
4,herb,Uvularia grandiflora,0,0,0
4,herb,Veronicastrum virginianum,0,0,0
4,herb,Helianthus divaricatus,8,35,52
4,herb,Parietaria pensylvanica,0,0,0
6,woody,Acer rubrum,88,73,14
6,woody,Amelanchier arborea,3,26,19
6,woody,Amelanchier laevis,1,1,1
6,woody,Amelanchier sanguinea,0,0,0
6,woody,Carya spp.,40,110,33
6,woody,Crataegus sp.,2,1,1
6,woody,Fraxinus americana,5,0,0
6,woody,Hamamelis virginiana,95,159,0
6,woody,Populus grandidentata,1,0,0
6,woody,Prunus serotina,95,214,301
6,woody,Prunus virginiana,18,17,96
6,woody,Quercus alba,33,67,12
6,woody,Quercus rubra,1,1,1
6,woody,Quercus velutina,78,53,30
6,woody,Sassafras albidum,2,2,1
6,woody,Tilia americana,29,61,86
6,woody,Ceanothus americanus,0,0,0
6,woody,Celastrus scandens,0,0,0
6,woody,Cornus racemosa,9,1,6
6,woody,Gaylussacia baccata,0,39,0
6,woody,Juniperus communis,1,1,1
6,woody,Parthenocissus quinquefolia,1,17,2
6,woody,Ribes cynosbati,0,43,2
6,woody,Rosa carolina,19,33,19
6,woody,Vaccinium corymbosum,0,5,0
6,woody,Vitis spp.,1,1,1
6,herb,Antennaria fallax,0,1,1
6,herb,Agropyron trachycaulum,0,0,0
6,herb,Amphicarpa bracteata,1,8,23
6,herb,Amph. Bract. V com.,0,1,11
6,herb,Andropogon gerardi,0,0,0
6,herb,Andropogon scoparius,0,0,0
6,herb,Aster macrophyllus,4,48,32
6,herb,Aster sagittifolius,1,8,1
6,herb,Cystopteris fragilis,0,0,0
6,herb,Desmodium nudiflorum,8,1,1
6,herb,Desmodium paniculatum,0,0,0
6,herb,Desmodium rotundifolium,0,0,0
6,herb,Erigeron pulchellus,0,1,0
6,herb,Festuca obtusa,1,7,2
6,herb,Galium boreale,45,76,129
6,herb,Galium circaezans,1,1,1
6,herb,Galium pilosum,0,0,0
6,herb,Galium triflorum,4,24,2
6,herb,Geranium maculatum,19,52,6
6,herb,Hepatica americana,60,70,123
6,herb,Heuchera richardsonii,0,4,1
6,herb,Hieracium venosum,0,0,0
6,herb,Hystrix patula,0,0,0
